"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"12","千葉県","12106","千葉市美浜区","121060001001","ひび野一丁目","35.649978","140.045921","1","3"
"12","千葉県","12106","千葉市美浜区","121060001002","ひび野二丁目","35.644813","140.040726","1","3"
"12","千葉県","12106","千葉市美浜区","121060002001","磯辺一丁目","35.629744","140.064431","1","3"
"12","千葉県","12106","千葉市美浜区","121060002002","磯辺二丁目","35.624834","140.059183","1","3"
"12","千葉県","12106","千葉市美浜区","121060002003","磯辺三丁目","35.628064","140.054923","1","3"
"12","千葉県","12106","千葉市美浜区","121060002004","磯辺四丁目","35.631489","140.058833","1","3"
"12","千葉県","12106","千葉市美浜区","121060002005","磯辺五丁目","35.634105","140.060466","1","3"
"12","千葉県","12106","千葉市美浜区","121060002006","磯辺六丁目","35.636778","140.055853","1","3"
"12","千葉県","12106","千葉市美浜区","121060002007","磯辺七丁目","35.634675","140.052039","1","3"
"12","千葉県","12106","千葉市美浜区","121060002008","磯辺八丁目","35.630711","140.049656","1","3"
"12","千葉県","12106","千葉市美浜区","121060003001","稲毛海岸一丁目","35.627994","140.086110","1","3"
"12","千葉県","12106","千葉市美浜区","121060003002","稲毛海岸二丁目","35.630967","140.083773","1","3"
"12","千葉県","12106","千葉市美浜区","121060003003","稲毛海岸三丁目","35.633843","140.080445","1","3"
"12","千葉県","12106","千葉市美浜区","121060003004","稲毛海岸四丁目","35.635777","140.077738","1","3"
"12","千葉県","12106","千葉市美浜区","121060003005","稲毛海岸五丁目","35.638358","140.074276","1","3"
"12","千葉県","12106","千葉市美浜区","121060004001","幸町一丁目","35.613110","140.100859","1","3"
"12","千葉県","12106","千葉市美浜区","121060004002","幸町二丁目","35.622467","140.090879","1","3"
"12","千葉県","12106","千葉市美浜区","121060005001","高洲一丁目","35.629244","140.079973","1","3"
"12","千葉県","12106","千葉市美浜区","121060005002","高洲二丁目","35.622519","140.079805","1","3"
"12","千葉県","12106","千葉市美浜区","121060005003","高洲三丁目","35.625523","140.074793","1","3"
"12","千葉県","12106","千葉市美浜区","121060005004","高洲四丁目","35.632293","140.073264","1","3"
"12","千葉県","12106","千葉市美浜区","121060006001","高浜一丁目","35.619254","140.074365","1","3"
"12","千葉県","12106","千葉市美浜区","121060006002","高浜二丁目","35.616121","140.071061","1","3"
"12","千葉県","12106","千葉市美浜区","121060006003","高浜三丁目","35.621037","140.065866","1","3"
"12","千葉県","12106","千葉市美浜区","121060006004","高浜四丁目","35.623761","140.069393","1","3"
"12","千葉県","12106","千葉市美浜区","121060006005","高浜五丁目","35.626645","140.066327","1","3"
"12","千葉県","12106","千葉市美浜区","121060006006","高浜六丁目","35.623990","140.062571","1","3"
"12","千葉県","12106","千葉市美浜区","121060006007","高浜七丁目","35.617491","140.064185","1","3"
"12","千葉県","12106","千葉市美浜区","121060007001","若葉一丁目","35.656123","140.043755","1","3"
"12","千葉県","12106","千葉市美浜区","121060007002","若葉二丁目","35.651542","140.052381","1","3"
"12","千葉県","12106","千葉市美浜区","121060007003","若葉三丁目","35.646021","140.053086","1","3"
"12","千葉県","12106","千葉市美浜区","121060008000","新港","35.612144","140.088974","1","1"
"12","千葉県","12106","千葉市美浜区","121060009001","真砂一丁目","35.634829","140.070329","1","3"
"12","千葉県","12106","千葉市美浜区","121060009002","真砂二丁目","35.639213","140.068734","1","3"
"12","千葉県","12106","千葉市美浜区","121060009003","真砂三丁目","35.636207","140.063507","1","3"
"12","千葉県","12106","千葉市美浜区","121060009004","真砂四丁目","35.639716","140.059612","1","3"
"12","千葉県","12106","千葉市美浜区","121060009005","真砂五丁目","35.644998","140.061802","1","3"
"12","千葉県","12106","千葉市美浜区","121060010001","打瀬一丁目","35.641964","140.048235","1","3"
"12","千葉県","12106","千葉市美浜区","121060010002","打瀬二丁目","35.638177","140.045175","1","3"
"12","千葉県","12106","千葉市美浜区","121060010003","打瀬三丁目","35.636170","140.043225","1","3"
"12","千葉県","12106","千葉市美浜区","121060011001","中瀬一丁目","35.652475","140.041069","1","3"
"12","千葉県","12106","千葉市美浜区","121060011002","中瀬二丁目","35.648044","140.034937","1","3"
"12","千葉県","12106","千葉市美浜区","121060012000","美浜","35.642455","140.034751","1","1"
"12","千葉県","12106","千葉市美浜区","121060013001","浜田一丁目","35.658358","140.039219","1","3"
"12","千葉県","12106","千葉市美浜区","121060013002","浜田二丁目","35.655447","140.032601","1","3"
"12","千葉県","12106","千葉市美浜区","121060014000","豊砂","35.651846","140.027087","1","1"
"12","千葉県","12106","千葉市美浜区","121060015001","幕張西一丁目","35.666062","140.034485","1","3"
"12","千葉県","12106","千葉市美浜区","121060015002","幕張西二丁目","35.664377","140.036557","1","3"
"12","千葉県","12106","千葉市美浜区","121060015003","幕張西三丁目","35.662291","140.040521","1","3"
"12","千葉県","12106","千葉市美浜区","121060015004","幕張西四丁目","35.660843","140.042655","1","3"
"12","千葉県","12106","千葉市美浜区","121060015005","幕張西五丁目","35.661487","140.035748","1","3"
"12","千葉県","12106","千葉市美浜区","121060015006","幕張西六丁目","35.661607","140.030597","1","3"
