"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"12","千葉県","12102","千葉市花見川区","121020001001","こてはし台一丁目","35.685267","140.126757","1","3"
"12","千葉県","12102","千葉市花見川区","121020001002","こてはし台二丁目","35.687241","140.125965","1","3"
"12","千葉県","12102","千葉市花見川区","121020001003","こてはし台三丁目","35.685042","140.120772","1","3"
"12","千葉県","12102","千葉市花見川区","121020001004","こてはし台四丁目","35.686491","140.118972","1","3"
"12","千葉県","12102","千葉市花見川区","121020001005","こてはし台五丁目","35.690582","140.119228","1","3"
"12","千葉県","12102","千葉市花見川区","121020001006","こてはし台六丁目","35.696292","140.116278","1","3"
"12","千葉県","12102","千葉市花見川区","121020002001","さつきが丘一丁目","35.665215","140.098282","1","3"
"12","千葉県","12102","千葉市花見川区","121020002002","さつきが丘二丁目","35.664360","140.092312","1","3"
"12","千葉県","12102","千葉市花見川区","121020003000","宇那谷町","35.689613","140.136155","1","1"
"12","千葉県","12102","千葉市花見川区","121020004000","横戸台","35.698212","140.113632","1","1"
"12","千葉県","12102","千葉市花見川区","121020005000","横戸町","35.702230","140.117110","1","1"
"12","千葉県","12102","千葉市花見川区","121020006001","花園一丁目","35.652701","140.075099","1","3"
"12","千葉県","12102","千葉市花見川区","121020006002","花園二丁目","35.653552","140.070215","1","3"
"12","千葉県","12102","千葉市花見川区","121020006003","花園三丁目","35.656766","140.070240","1","3"
"12","千葉県","12102","千葉市花見川区","121020006004","花園四丁目","35.655383","140.072883","1","3"
"12","千葉県","12102","千葉市花見川区","121020006005","花園五丁目","35.654188","140.076233","1","3"
"12","千葉県","12102","千葉市花見川区","121020007000","花園町","35.651779","140.081258","1","1"
"12","千葉県","12102","千葉市花見川区","121020008000","花見川","35.686303","140.093271","1","1"
"12","千葉県","12102","千葉市花見川区","121020009000","花島町","35.682577","140.099109","1","1"
"12","千葉県","12102","千葉市花見川区","121020010001","宮野木台一丁目","35.655067","140.093703","1","3"
"12","千葉県","12102","千葉市花見川区","121020010002","宮野木台二丁目","35.656656","140.093601","1","3"
"12","千葉県","12102","千葉市花見川区","121020010003","宮野木台三丁目","35.659457","140.094524","1","3"
"12","千葉県","12102","千葉市花見川区","121020010004","宮野木台四丁目","35.658375","140.096827","1","3"
"12","千葉県","12102","千葉市花見川区","121020011001","検見川町一丁目","35.652244","140.065645","1","3"
"12","千葉県","12102","千葉市花見川区","121020011002","検見川町二丁目","35.649554","140.064112","1","3"
"12","千葉県","12102","千葉市花見川区","121020011003","検見川町三丁目","35.647900","140.069817","1","3"
"12","千葉県","12102","千葉市花見川区","121020011005","検見川町五丁目","35.644880","140.073603","1","3"
"12","千葉県","12102","千葉市花見川区","121020012001","作新台一丁目","35.690846","140.090612","1","3"
"12","千葉県","12102","千葉市花見川区","121020012002","作新台二丁目","35.692628","140.088615","1","3"
"12","千葉県","12102","千葉市花見川区","121020012003","作新台三丁目","35.692971","140.084410","1","3"
"12","千葉県","12102","千葉市花見川区","121020012004","作新台四丁目","35.692166","140.080644","1","3"
"12","千葉県","12102","千葉市花見川区","121020012005","作新台五丁目","35.691188","140.082612","1","3"
"12","千葉県","12102","千葉市花見川区","121020012006","作新台六丁目","35.688287","140.087209","1","3"
"12","千葉県","12102","千葉市花見川区","121020012007","作新台七丁目","35.688621","140.083782","1","3"
"12","千葉県","12102","千葉市花見川区","121020012008","作新台八丁目","35.685615","140.085798","1","3"
