"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"12","千葉県","12105","千葉市緑区","121050001001","あすみが丘一丁目","35.530170","140.268001","1","3"
"12","千葉県","12105","千葉市緑区","121050001002","あすみが丘二丁目","35.524742","140.270838","1","3"
"12","千葉県","12105","千葉市緑区","121050001003","あすみが丘三丁目","35.527336","140.266228","1","3"
"12","千葉県","12105","千葉市緑区","121050001004","あすみが丘四丁目","35.524482","140.264176","1","3"
"12","千葉県","12105","千葉市緑区","121050001005","あすみが丘五丁目","35.525605","140.258211","1","3"
"12","千葉県","12105","千葉市緑区","121050001006","あすみが丘六丁目","35.517880","140.263203","1","3"
"12","千葉県","12105","千葉市緑区","121050001007","あすみが丘七丁目","35.517640","140.266320","1","3"
"12","千葉県","12105","千葉市緑区","121050001008","あすみが丘八丁目","35.517256","140.270358","1","3"
"12","千葉県","12105","千葉市緑区","121050001009","あすみが丘九丁目","35.511486","140.263072","1","3"
"12","千葉県","12105","千葉市緑区","121050002001","おゆみ野一丁目","35.562421","140.165021","1","3"
"12","千葉県","12105","千葉市緑区","121050002002","おゆみ野二丁目","35.562363","140.172135","1","3"
"12","千葉県","12105","千葉市緑区","121050002003","おゆみ野三丁目","35.560550","140.176705","1","3"
"12","千葉県","12105","千葉市緑区","121050002004","おゆみ野四丁目","35.556784","140.181227","1","3"
"12","千葉県","12105","千葉市緑区","121050002005","おゆみ野五丁目","35.553515","140.188118","1","3"
"12","千葉県","12105","千葉市緑区","121050002006","おゆみ野六丁目","35.550641","140.192510","1","3"
"12","千葉県","12105","千葉市緑区","121050003001","おゆみ野中央一丁目","35.559037","140.160226","1","3"
"12","千葉県","12105","千葉市緑区","121050003002","おゆみ野中央二丁目","35.555316","140.161198","1","3"
"12","千葉県","12105","千葉市緑区","121050003003","おゆみ野中央三丁目","35.554391","140.167860","1","3"
"12","千葉県","12105","千葉市緑区","121050003004","おゆみ野中央四丁目","35.552087","140.172623","1","3"
"12","千葉県","12105","千葉市緑区","121050003005","おゆみ野中央五丁目","35.557374","140.172880","1","3"
"12","千葉県","12105","千葉市緑区","121050003006","おゆみ野中央六丁目","35.553403","140.179999","1","3"
"12","千葉県","12105","千葉市緑区","121050003007","おゆみ野中央七丁目","35.549577","140.179385","1","3"
"12","千葉県","12105","千葉市緑区","121050003008","おゆみ野中央八丁目","35.549238","140.187881","1","3"
"12","千葉県","12105","千葉市緑区","121050003009","おゆみ野中央九丁目","35.546923","140.182107","1","3"
"12","千葉県","12105","千葉市緑区","121050004001","おゆみ野南一丁目","35.552593","140.162211","1","3"
"12","千葉県","12105","千葉市緑区","121050004002","おゆみ野南二丁目","35.550961","140.168197","1","3"
"12","千葉県","12105","千葉市緑区","121050004003","おゆみ野南三丁目","35.547826","140.167911","1","3"
"12","千葉県","12105","千葉市緑区","121050004004","おゆみ野南四丁目","35.544432","140.167520","1","3"
"12","千葉県","12105","千葉市緑区","121050004005","おゆみ野南五丁目","35.546310","140.174923","1","3"
"12","千葉県","12105","千葉市緑区","121050004006","おゆみ野南六丁目","35.542495","140.181494","1","3"
"12","千葉県","12105","千葉市緑区","121050005000","おゆみ野有吉","35.558471","140.166582","1","1"
"12","千葉県","12105","千葉市緑区","121050006000","越智町","35.532220","140.238850","1","1"
"12","千葉県","12105","千葉市緑区","121050007000","下大和田町","35.561037","140.273070","1","1"
"12","千葉県","12105","千葉市緑区","121050008000","鎌取町","35.566118","140.175684","1","1"
"12","千葉県","12105","千葉市緑区","121050009000","刈田子町","35.546885","140.163215","1","1"
