"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"12","千葉県","12104","千葉市若葉区","121040001001","みつわ台一丁目","35.632350","140.129752","1","3"
"12","千葉県","12104","千葉市若葉区","121040001002","みつわ台二丁目","35.636860","140.132687","1","3"
"12","千葉県","12104","千葉市若葉区","121040001003","みつわ台三丁目","35.639729","140.138056","1","3"
"12","千葉県","12104","千葉市若葉区","121040001004","みつわ台四丁目","35.643311","140.132997","1","3"
"12","千葉県","12104","千葉市若葉区","121040001005","みつわ台五丁目","35.646697","140.137016","1","3"
"12","千葉県","12104","千葉市若葉区","121040002000","愛生町","35.652725","140.134546","1","1"
"12","千葉県","12104","千葉市若葉区","121040003000","下泉町","35.632000","140.226287","1","1"
"12","千葉県","12104","千葉市若葉区","121040004000","下田町","35.635572","140.208926","1","1"
"12","千葉県","12104","千葉市若葉区","121040005000","加曽利町","35.612049","140.162701","1","1"
"12","千葉県","12104","千葉市若葉区","121040006000","貝塚町","35.623982","140.147199","1","1"
"12","千葉県","12104","千葉市若葉区","121040007000","金親町","35.622134","140.203627","1","1"
"12","千葉県","12104","千葉市若葉区","121040008000","原町","35.632257","140.139447","1","1"
"12","千葉県","12104","千葉市若葉区","121040009000","源町","35.645555","140.128830","1","1"
"12","千葉県","12104","千葉市若葉区","121040010000","古泉町","35.593013","140.241867","1","1"
"12","千葉県","12104","千葉市若葉区","121040011000","五十土町","35.580280","140.216663","1","1"
"12","千葉県","12104","千葉市若葉区","121040012001","御成台一丁目","35.626366","140.194280","1","3"
"12","千葉県","12104","千葉市若葉区","121040012002","御成台二丁目","35.632878","140.198964","1","3"
"12","千葉県","12104","千葉市若葉区","121040012003","御成台三丁目","35.634673","140.200816","1","3"
"12","千葉県","12104","千葉市若葉区","121040012004","御成台四丁目","35.636819","140.204616","0","3"
"12","千葉県","12104","千葉市若葉区","121040013000","御殿町","35.611624","140.214426","1","1"
