"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"12","千葉県","12103","千葉市稲毛区","121030001000","あやめ台","35.649336","140.113768","1","1"
"12","千葉県","12103","千葉市稲毛区","121030002000","稲丘町","35.631555","140.086956","1","1"
"12","千葉県","12103","千葉市稲毛区","121030003001","稲毛一丁目","35.634545","140.083771","1","3"
"12","千葉県","12103","千葉市稲毛区","121030003002","稲毛二丁目","35.637555","140.080214","1","3"
"12","千葉県","12103","千葉市稲毛区","121030003003","稲毛三丁目","35.638214","140.084523","1","3"
"12","千葉県","12103","千葉市稲毛区","121030004000","稲毛台町","35.633080","140.093055","1","1"
"12","千葉県","12103","千葉市稲毛区","121030005004","稲毛町四丁目","35.646647","140.084770","1","3"
"12","千葉県","12103","千葉市稲毛区","121030005005","稲毛町五丁目","35.643076","140.079928","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006001","稲毛東一丁目","35.633214","140.089836","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006002","稲毛東二丁目","35.636380","140.087238","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006003","稲毛東三丁目","35.636219","140.091026","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006004","稲毛東四丁目","35.639229","140.089770","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006005","稲毛東五丁目","35.639207","140.086502","1","3"
"12","千葉県","12103","千葉市稲毛区","121030006006","稲毛東六丁目","35.643612","140.086100","1","3"
"12","千葉県","12103","千葉市稲毛区","121030007000","園生町","35.644801","140.107588","1","1"
"12","千葉県","12103","千葉市稲毛区","121030008000","宮野木町","35.656100","140.102866","1","1"
"12","千葉県","12103","千葉市稲毛区","121030009001","穴川一丁目","35.632039","140.105606","1","3"
"12","千葉県","12103","千葉市稲毛区","121030009002","穴川二丁目","35.633808","140.108477","1","3"
"12","千葉県","12103","千葉市稲毛区","121030009003","穴川三丁目","35.636858","140.110221","1","3"
